order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,65,1,10926.0,0.0
2,1,46,4,26377.33,0.05
3,1,16,5,83163.25,0.0
4,2,44,5,9251.21,0.15
5,2,31,2,2127.01,0.05
6,2,75,3,2753.32,0.05
7,2,73,5,9526.79,0.0
8,3,67,5,48132.16,0.15
9,3,32,2,4184.77,0.05
10,3,14,4,7521.16,0.0
11,3,42,2,10500.79,0.1
12,4,11,2,38638.31,0.1
13,4,12,2,11169.67,0.1
14,4,8,1,1138.19,0.05
15,4,55,5,5245.76,0.1
16,5,72,4,34598.83,0.1
17,5,67,4,48132.16,0.1
18,5,51,4,21729.72,0.0
19,5,34,2,12210.05,0.15
20,5,75,2,2753.32,0.1
21,6,17,2,3232.18,0.1
22,6,66,4,10173.79,0.0
23,6,68,2,16395.12,0.15
24,6,16,3,83163.25,
25,7,53,3,10550.89,0.0
26,7,15,5,8435.07,0.0
27,7,16,1,83163.25,0.05
28,7,48,3,7491.22,0.05
29,7,74,3,2937.83,0.05
30,8,4,1,21493.75,0.05
31,8,19,3,14064.73,0.0
32,8,76,2,4154.57,0.1
33,8,54,1,7273.55,0.0
34,9,45,5,7026.99,0.05
35,9,9,5,24443.59,0.1
36,9,6,3,4331.85,0.1
37,9,54,4,7273.55,0.15
38,9,62,2,4112.86,0.0
39,10,59,5,6537.92,0.15
40,10,58,4,7540.1,0.1
41,10,20,2,2795.36,0.1
42,10,42,3,10500.79,0.15
43,10,12,1,11169.67,0.1
44,11,12,5,11169.67,0.05
45,11,22,5,14987.28,0.0
46,11,4,5,21493.75,0.0
47,12,80,5,14416.0,0.0
48,12,70,5,4690.27,0.15
49,13,61,1,17645.56,0.0
50,13,65,5,10926.0,0.0
51,14,36,2,1623.44,0.0
52,15,57,4,2460.95,0.15
53,15,11,1,38638.31,0.1
54,15,69,1,5262.92,0.05
55,15,78,4,6812.98,0.0
56,15,42,4,10500.79,0.0
57,16,41,1,15894.59,0.15
58,16,49,2,10412.49,0.05
59,16,33,2,8606.33,0.0
60,16,12,3,11169.67,0.0
61,16,15,2,8435.07,0.05
62,17,22,2,14987.28,0.0
63,17,8,1,1138.19,0.05
64,17,79,4,20027.21,0.0
65,17,42,3,10500.79,0.0
66,18,42,1,10500.79,0.0
67,18,34,2,12210.05,0.15
68,18,49,5,10412.49,0.0
69,18,16,4,83163.25,0.15
70,19,50,4,10649.28,
71,19,15,4,8435.07,0.0
72,19,35,4,97382.34,0.0
73,19,8,4,1138.19,0.0
74,19,41,1,15894.59,0.05
75,20,76,3,4154.57,0.15
76,20,13,4,2378.53,0.1
77,20,32,1,4184.77,0.15
78,20,72,2,34598.83,0.0
79,20,17,3,3232.18,0.15
80,21,32,4,4184.77,0.15
81,21,69,4,5262.92,0.0
82,22,60,5,1661.3,0.05
83,23,1,4,2607.87,0.05
84,23,8,5,1138.19,0.05
85,24,45,3,7026.99,0.0
86,24,28,2,26363.69,0.15
87,24,75,5,2753.32,0.0
88,24,66,3,10173.79,0.0
89,25,16,4,83163.25,0.0
90,25,18,5,7134.98,0.15
91,25,72,3,34598.83,0.05
92,25,36,3,1623.44,0.1
93,26,32,2,4184.77,0.1
94,26,42,5,10500.79,0.05
95,26,44,1,9251.21,0.0
96,27,78,4,6812.98,0.0
97,28,23,4,4561.96,0.15
98,29,51,5,21729.72,0.0
99,29,69,4,5262.92,0.0
100,29,11,3,38638.31,0.1
101,29,10,5,45504.23,
102,30,23,3,4561.96,0.0
103,30,2,4,4441.59,0.0
104,30,16,2,83163.25,0.0
105,30,60,3,1661.3,0.05
106,31,12,3,11169.67,0.0
107,31,79,2,20027.21,0.1
108,32,5,5,82882.71,0.0
109,32,36,1,1623.44,0.0
110,32,64,4,2352.46,0.0
111,33,73,2,9526.79,0.15
112,33,65,2,10926.0,0.15
113,33,64,5,2352.46,0.15
114,34,9,2,24443.59,0.0
115,34,76,2,4154.57,0.05
116,35,30,5,2600.54,0.15
117,35,67,3,48132.16,0.15
118,35,36,4,1623.44,0.0
119,35,25,4,63155.9,0.0
120,35,3,3,11718.36,0.1
121,36,36,4,1623.44,0.05
122,36,16,5,83163.25,0.0
123,36,67,2,48132.16,0.0
124,36,60,3,1661.3,0.1
125,37,58,3,7540.1,0.0
126,37,41,5,15894.59,0.0
127,37,1,2,2607.87,0.1
128,37,51,1,21729.72,0.0
129,37,25,2,63155.9,0.0
130,38,40,1,15862.71,0.1
131,38,9,4,24443.59,0.0
132,38,13,5,2378.53,0.05
133,39,32,2,4184.77,0.05
134,39,14,1,7521.16,0.05
135,39,61,5,17645.56,0.0
136,40,77,5,5389.81,
137,41,58,5,7540.1,0.0
138,42,8,1,1138.19,0.1
139,43,9,4,24443.59,0.0
140,43,17,3,3232.18,0.15
141,43,8,4,1138.19,0.0
142,44,8,5,1138.19,0.0
143,45,49,5,10412.49,0.1
144,45,52,2,3501.14,0.15
145,45,13,5,2378.53,0.0
146,46,50,5,10649.28,0.0
147,46,60,3,1661.3,0.0
148,46,55,4,5245.76,0.15
149,46,80,3,14416.0,0.15
150,47,14,5,7521.16,0.0
151,47,2,5,4441.59,0.0
152,48,17,4,3232.18,0.15
153,48,66,4,10173.79,0.0
154,48,33,2,8606.33,0.0
155,48,46,1,26377.33,0.0
156,48,54,2,7273.55,0.05
157,49,56,5,1713.49,0.0
158,49,66,2,10173.79,0.1
159,49,46,3,26377.33,0.15
160,49,40,3,15862.71,0.05
161,49,75,3,2753.32,0.0
162,50,76,5,4154.57,0.0
163,50,19,4,14064.73,0.05
164,50,8,2,1138.19,0.0
165,50,31,2,2127.01,0.0
166,50,65,3,10926.0,0.0
167,51,60,5,1661.3,0.05
168,51,77,5,5389.81,0.05
169,51,43,4,118478.99,0.05
170,51,75,2,2753.32,0.0
171,52,6,2,4331.85,0.0
172,52,64,4,2352.46,0.15
173,52,29,2,14888.01,0.0
174,52,1,4,2607.87,0.05
175,53,27,3,9025.55,0.0
176,53,52,1,3501.14,0.05
177,53,24,1,2933.35,0.15
178,53,1,1,2607.87,0.0
179,54,57,3,2460.95,0.0
180,54,25,1,63155.9,0.0
181,54,75,2,2753.32,0.05
182,55,29,2,14888.01,0.05
183,55,34,5,12210.05,0.0
184,56,26,2,11112.29,0.05
185,56,3,1,11718.36,0.0
186,57,49,3,10412.49,0.0
187,57,15,3,8435.07,0.1
188,58,48,5,7491.22,0.15
189,58,22,4,14987.28,0.0
190,59,19,2,14064.73,0.0
