order_id,customer_id,order_date,order_status,payment_method,shipping_method
1,42,2025-08-19,Cancelled,Card,Express
2,159,2025-11-02,Cancelled,Cash,Standard
3,44,2024-11-13,Processing,Cash,Pickup
4,169,2024-05-10,Cancelled,M-Pesa,Pickup
5,217,2025-06-04,Completed,M-Pesa,Express
6,159,2024-07-03,Completed,Bank Transfer,Express
7,99,2024-08-19,Completed,Card,Standard
8,152,2024-04-13,Processing,M-Pesa,Pickup
9,173,2025-09-24,Completed,Cash,Standard
10,84,2024-07-04,Returned,Card,Pickup
11,225,2024-02-14,Shipped,Bank Transfer,Pickup
12,122,2025-03-30,Processing,Bank Transfer,Pickup
13,230,2024-08-27,Processing,Card,Express
14,241,2024-07-17,Completed,Cash,Express
15,145,2025-01-26,Processing,Cash,Standard
16,103,2025-09-11,Completed,Bank Transfer,Standard
17,247,2025-01-15,Processing,M-Pesa,Pickup
18,265,2024-05-07,Completed,M-Pesa,Standard
19,140,2025-04-05,Processing,Card,Express
20,47,2024-08-15,Returned,Cash,Express
21,14,2025-02-28,Completed,Cash,Pickup
22,192,2024-08-29,Shipped,M-Pesa,Express
23,115,2024-01-29,Completed,M-Pesa,Pickup
24,172,2024-05-29,Completed,M-Pesa,Express
25,242,2025-12-13,Returned,Card,Pickup
26,241,2025-04-04,Processing,M-Pesa,Standard
27,10,2024-09-19,Completed,Card,Pickup
28,271,2025-03-09,Completed,Bank Transfer,Standard
29,155,2024-05-04,Completed,Card,Express
30,235,2024-03-05,Completed,Cash,Pickup
31,275,2024-01-17,Cancelled,Card,Pickup
32,74,2024-10-25,Shipped,M-Pesa,Pickup
33,181,2024-09-03,Processing,Cash,Standard
34,44,2025-06-20,Completed,M-Pesa,Pickup
35,279,2025-06-03,Returned,M-Pesa,Express
36,241,2024-02-14,Cancelled,Cash,Express
37,130,2024-01-17,Completed,M-Pesa,Express
38,124,2025-11-03,Cancelled,M-Pesa,Pickup
39,171,2024-05-16,Completed,Bank Transfer,Pickup
40,174,2025-10-20,Completed,Cash,Pickup
41,246,2025-10-08,Completed,Card,Standard
42,235,2024-02-07,Completed,Card,Standard
43,103,2024-02-12,Completed,Bank Transfer,Pickup
44,204,2025-07-10,Shipped,Bank Transfer,Standard
45,98,2024-10-19,Completed,M-Pesa,Pickup
46,170,2024-10-06,Completed,Bank Transfer,Express
47,205,2025-03-26,Shipped,Bank Transfer,Standard
48,255,2025-12-09,Shipped,Bank Transfer,Pickup
49,137,2024-03-25,Cancelled,Cash,Standard
50,221,2025-09-08,Returned,Card,Pickup
51,151,2024-11-24,Completed,M-Pesa,Express
52,152,2024-11-09,Shipped,Cash,Standard
